Band,BW,Tx_Freq,Chan,Tx_level,Measured_Power,E_-1,E_+1,U_-1,U_+1,U_-2,U_+2,EVM,Freq_Err,IQ_OFFSET,RB_num,RB_start,MCS,Type,Tx_Path,SCS(KHz),RB_STATE,Sync_Path,AS_SRS_Path,Current(mA),Condition,Temp0,Temp1,Voltage_mipi,FBRX power,MIPI read
78,100,3350000,ch0,26,23.13256,-41.88157,-41.69025,-52.86084,-52.35022,-53.75121,-53.13048,2.599857,7.016543,-69.22231,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,23.23791,-40.29488,-40.2428,-48.77695,-48.53502,-50.16185,-49.9038,3.45107,-10.10619,-70.1916,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,23.21862,-42.45989,-42.21155,-52.48537,-52.49038,-53.9075,-53.59968,2.73875,-34.74114,-69.3634,137,68,QPSK,CP,TX2,30,INNER_FULL,Main,,,HTLV,,,,,
78,100,3350000,ch0,26,21.63299,-40.21814,-39.86679,-49.15625,-49.91488,-53.64091,-52.72036,2.360609,-23.66187,-65.62373,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3550000,ch1,26,21.74131,-39.83942,-39.89553,-49.19663,-49.86638,-53.34041,-52.78372,2.175029,-5.272796,-74.38097,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
78,100,3750000,ch2,26,21.7872,-39.95283,-40.08874,-48.59937,-49.70217,-52.45303,-52.42793,2.316854,-21.14201,-67.39748,273,0,QPSK,CP,TX2,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,24.18954,-43.26815,-43.9396,-56.93519,-57.16699,-57.18005,-57.40971,1.506668,-4.238062,-65.12671,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3625000,ch1,26,24.17528,-43.25468,-43.99806,-56.78312,-57.27744,-57.00461,-57.5005,1.510848,2.800299,-66.96216,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3650000,ch2,26,24.13337,-43.22915,-43.92118,-56.90424,-57.16138,-57.20708,-57.24576,1.541536,-20.16758,-70.56567,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3600000,ch0,26,23.18414,-41.24492,-42.21437,-49.92573,-52.89808,-54.65774,-55.31615,1.682534,-20.06198,-64.28172,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
48,100,3625000,ch1,26,23.26052,-41.44652,-42.34757,-49.95543,-53.19092,-55.27042,-55.80717,1.647916,-16.42965,-67.34781,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
48,100,3650000,ch2,26,23.17796,-41.39307,-42.24447,-49.91133,-53.33348,-55.33731,-55.77616,1.643116,-0.7799273,-68.00626,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
